,Date,Time,Individual,DOB,Sex,Behavior,Comment,ID2,Data,Location,Alone,Patrol,Drum.Hoot.,Review,Delete,Has.Location.,,Latitude,Longitude
79,6/24/15,1:53:22 PM,Benny,6/1/00,Male,Sniff,Party of westerns moving north (where centralers a were yeatetday),,AdLib,"0.498129,30.414933",0,NA,NA,NA,NA,1,,0.498129,30.414933
80,6/26/15,18:26:13,Django,1/1/97,Male,Sniff,"Ground; in party( 0.499077,30.417072","Sutherland,",Focal,,0,NA,NA,NA,NA,0,,,
81,6/28/15,10:53:29,Buckner,1/1/00,Male,Sniff,"Ground; i. Party but no one visible and all quiet ;0.494755,30.399844",,Focal,"0.494755,30.399844",0,NA,NA,NA,NA,1,,0.494755,30.399844
82,6/29/15,8:13:06,Mitchell,1/1/99,Male,Sniff,"Ground; 0.500768,30.417633 with mulligan Hawkins and southpaw",,Focal,"0.500768,30.417633",0,NA,NA,NA,NA,1,,0.500768,30.417633
83,7/9/15,4:50:40 PM,Benny,6/1/00,Male,Sniff,With while party of westerners on patrol??,,AdLib,"0.512083,30.395233",0,1,NA,1,NA,1,,0.512083,30.395233
84,7/15/15,8:13:21,Mitchell,1/1/99,Male,Sniff,"Ground; 0.486533,30.435919",,Focal,"0.486533,30.435919",NA,NA,NA,NA,NA,1,,0.486533,30.435919
85,7/15/15,8:17:19,Mitchell,1/1/99,Male,Sniff,"Ground; 0.485848,30.435873",,Focal,"0.485848,30.435873",NA,NA,NA,NA,NA,1,,0.485848,30.435873
86,7/15/15,1:20:57 PM,Mitchell,1/1/99,Male,Sniff,With Basie Hawkins Morton Lucy (mulligan Dexter and others around somewhere ),,AdLib,"0.480753,30.431510",0,NA,NA,NA,NA,1,,0.480753,30.43151
87,7/26/15,4:20:01 PM,Benny,6/1/00,Male,Sniff,7.5 closer to z than t.5; alone ; party to west,,AdLib,"0.487759,30.390453",0,NA,NA,NA,NA,1,,0.487759,30.390453
88,7/28/15,13:18:26,Evans,1/1/96,Male,Sniff,"Ground; 0.498525,30.411458",,Focal,"0.498525,30.411458",NA,NA,NA,NA,NA,1,,0.498525,30.411458
89,7/30/15,9:55:15 AM,Rollins,1/1/86,Male,Sniff,Between 7.5 and 6.5 near t.5,,AdLib,,NA,NA,NA,1,NA,0,,,
90,8/14/15,7:31:21,Wes,6/1/97,Male,Sniff,"Not in party; 0.494411,30.410279 for first sniff",,Focal,"0.494411,30.410279",1,NA,NA,1,NA,1,,0.494411,30.410279
91,8/14/15,7:31:47,Wes,6/1/97,Male,Sniff,,,Focal,,NA,NA,NA,NA,NA,0,,,
92,8/14/15,7:32:09,Wes,6/1/97,Male,Sniff,"0.493833,30.410488 third sniff",,Focal,"0.493833,30.410488",NA,NA,NA,NA,NA,1,,0.493833,30.410488
93,8/14/15,7:51:02,Wes,6/1/97,Male,Sniff,"0.493271,30.410461 (7:54 ""Two sniffs ago: "")",,Focal,"0.493271,30.410461",NA,NA,NA,1,NA,1,,0.493271,30.410461
94,8/14/15,7:51:22,Wes,6/1/97,Male,Sniff,"0.492941,30.410478",,Focal,"0.492941,30.410478",NA,NA,NA,NA,NA,1,,0.492941,30.410478
95,8/19/15,12:23:15 PM,Morton,1/1/84,Male,Sniff,Old feces/urine with Morton and Hester (Hester didn't sniff it),,AdLib,"0.479764,30.427256",0,NA,NA,1,NA,1,,0.479764,30.427256
96,8/19/15,12:23:32 PM,Ornette,1/1/77,Male,Sniff,Old feces/urine; with Morton and Hester (Hester didn't sniff it),,AdLib,"0.479764,30.427256",0,NA,NA,1,NA,1,,0.479764,30.427256
97,8/19/15,4:00:35 PM,Erroll,1/1/02,Male,Sniff,,,AdLib,"0.475185,30.427997",NA,NA,NA,NA,NA,1,,0.475185,30.427997
98,8/24/15,4:22:49 PM,Evans,1/1/96,Male,Sniff,A cut stem; old cut by panga probably trail cutter but stem recently bent (by chimps just now?,,AdLib,"0.510069,30.435480",NA,NA,NA,1,NA,1,,0.510069,30.43548
99,8/24/15,5:57:24 PM,Evans,1/1/96,Male,Sniff,Where's party? Dizzy ahead,,AdLib,"0.515071,30.430265",0,NA,NA,1,NA,1,,0.515071,30.430265
100,8/25/15,3:02:07 PM,Wilson,12/1/99,Male,Sniff,Ground ( monk had walked ahead),,AdLib,"0.480686,30.427558",0,NA,NA,1,NA,1,,0.480686,30.427558
101,10/30/17,18:01:59,Peterson,1/1/95,Male,Sniff,Leaf,,Focal,,NA,NA,NA,1,NA,0,,,
102,10/31/17,7:51:08 AM,Erroll,1/1/02,Male,Sniff,With Wilson orff bartok and fleck buy Wilson keeps pant hooting,,AdLib,"0.496052,30.419491",0,NA,1,NA,NA,1,,0.496052,30.419491
103,10/31/17,10:20:16,Hicks,1/1/97,Male,Sniff,,"Merrill,",Focal,,0,NA,NA,NA,NA,0,,,
104,11/1/17,12:09:24 PM,Fleck,6/1/06,Male,Sniff,Amidst party resting ; Amelia with infant had just walked by with monk,,AdLib,"0.504501,30.424847",0,NA,NA,NA,NA,1,,0.504501,30.424847
105,11/4/17,12:56:36,Wes,6/1/97,Male,Sniff,As with previous,,Focal,,0,NA,NA,NA,NA,0,,,
106,11/4/17,12:57:04 PM,Wes,6/1/97,Male,Sniff,Leaving tree with small party,,AdLib,"0.502680,30.397230",0,NA,NA,NA,NA,1,,0.50268,30.39723
107,11/6/17,14:49:09,Cannonball,7/30/07,Male,Sniff,Ground,,Focal,,1,NA,NA,NA,NA,0,,,
108,11/29/17,12:18:26,Django,1/1/97,Male,Sniff,"Ground; in party with just bartok who went ahead ; 0.496265,30.423559",,Focal,"0.496265,30.423559",0,NA,NA,NA,NA,1,,0.496265,30.423559
109,12/1/17,16:42:53,Django,1/1/97,Male,Sniff,"0.493651,30.425112 ground",,Focal,"0.493651,30.425112",NA,NA,NA,NA,NA,1,,0.493651,30.425112
110,12/5/17,9:25:52,Wilson,12/1/99,Male,Sniff,Monodora,,Focal,,NA,NA,NA,1,NA,0,,,
111,12/5/17,16:17:59,Porkpie,1/1/94,Male,Sniff,,,Focal,,NA,NA,NA,NA,NA,0,,,
112,12/6/17,1:02:47 PM,Richmond,1/1/87,Male,Sniff,,,AdLib,"0.483770,30.410497",NA,NA,NA,NA,NA,1,,0.48377,30.410497
113,12/6/17,1:03:01 PM,Ellen,2/1/06,Female,Sniff,,,AdLib,"0.483850,30.410486",NA,NA,NA,NA,NA,1,,0.48385,30.410486
114,12/6/17,1:30:41 PM,Wes,6/1/97,Male,Sniff,,,AdLib,"0.489114,30.415385",NA,NA,NA,NA,NA,1,,0.489114,30.415385
115,12/7/17,4:12:18 PM,Basie,1/1/83,Male,Sniff,Tree stump within big party,,AdLib,"0.474596,30.408927",0,NA,NA,1,NA,1,,0.474596,30.408927
116,12/9/17,8:21:11,Barron,3/1/01,Male,Sniff,"Stepped in something and tried to wipe foot and then sniffed ground 0.499800,30.421011",,Focal,"0.499800,30.421011",NA,NA,NA,1,NA,1,,0.4998,30.421011
117,12/11/17,11:21:49,Booker,4/15/02,Male,Sniff,Ground where Leonora was sitting (1/2 swelling),,Focal,,0,NA,NA,NA,NA,0,,,
118,12/16/17,5:39:41 PM,Elton,1/1/05,Male,Sniff,Ground; feces; walking quickly with miles Basie Peterson carter abrams and fisher,,AdLib,"0.515771,30.411942",0,NA,NA,NA,NA,1,,0.515771,30.411942
119,12/17/17,9:40:20 AM,Khutulun,6/17/01,Female,Sniff,Ground; in party with cash Sarandon and jacki; eating Monodora,,AdLib,"0.474377,30.424600",0,NA,NA,NA,NA,1,,0.474377,30.4246
120,12/19/17,14:55:49,Cannonball,7/30/07,Male,Sniff,"Ground, then rest. 0.485122,30.422295",,Focal,"0.485122,30.422295",NA,NA,NA,1,NA,1,,0.485122,30.422295
121,12/19/17,15:03:30,Cannonball,7/30/07,Male,Sniff,"Not in party although chimps should be scattered nearby; ground : 0.484957,30.422247",,Focal,"0.484957,30.422247",NA,NA,NA,1,NA,1,,0.484957,30.422247
122,1/9/18,12:38:57 PM,Fricka,12/12/11,Female,Sniff,Ground ; in party,,AdLib,"0.491254,30.424261",0,NA,NA,NA,NA,1,,0.491254,30.424261
123,1/19/18,10:45:43 AM,Septina,10/1/12,Female,Sniff,In party ; ground,,AdLib,"0.499382,30.406768",0,NA,NA,NA,NA,1,,0.499382,30.406768
124,1/21/18,11:03:59 AM,Brownface,1/1/66,Male,Sniff,Monodora on ground,,AdLib,"0.488271,30.425083",NA,NA,NA,1,NA,1,,0.488271,30.425083
125,1/21/18,11:04:18,Hicks,1/1/97,Male,Sniff,Monodora on ground,,Focal,,NA,NA,NA,1,NA,0,,,
126,1/23/18,4:32:22 PM,Garrison,1/1/77,Male,Sniff,Ground maybe fresh feces - alone with rich bergl,,AdLib,"0.487788,30.402683",0,NA,NA,NA,NA,1,,0.487788,30.402683
127,1/23/18,16:32:55,RichBergl,12/6/10,Male,Sniff,Ground maybe feces -,,Focal,,NA,NA,NA,NA,NA,0,,,
128,1/23/18,4:56:32 PM,Garrison,1/1/77,Male,Sniff,Traveling just with rich bergl,,AdLib,"0.487640,30.406031",0,NA,NA,NA,NA,1,,0.48764,30.406031
129,1/30/18,16:11:30,Booker,4/15/02,Male,Sniff,"Ground in party but walking alone 0.488426,30.427860",,Focal,"0.488426,30.427860",NA,NA,NA,1,NA,1,,0.488426,30.42786
130,2/2/18,7:40:10,Dylan,7/26/06,Male,Sniff,With heater going between parties - ground,"Hester,",Focal,,0,NA,NA,NA,NA,0,,,
131,2/2/18,7:41:55,Dylan,7/26/06,Male,Sniff,"0.489748,30.428767 ground with Hester out of party","Hester,",Focal,"0.489748,30.428767",0,NA,NA,NA,NA,1,,0.489748,30.428767
132,2/5/18,5:04:34 PM,Richmond,1/1/87,Male,Sniff,On big party; ground ; maybe looking for red colobus,,AdLib,"0.476206,30.405622",0,NA,NA,1,NA,1,,0.476206,30.405622
133,2/20/18,4:30:43 PM,Nelson,1/1/07,Male,Sniff,Ground ; in party of central sw of m/11,,AdLib,"0.482526,30.409870",0,NA,NA,1,NA,1,,0.482526,30.40987
134,2/20/18,4:31:16 PM,Puccini,5/1/08,Male,Sniff,Ground among central party,,AdLib,"0.482415,30.409534",0,NA,NA,NA,NA,1,,0.482415,30.409534
135,2/20/18,4:36:40 PM,Hicks,1/1/97,Male,Sniff,Branch in ground ;,,AdLib,"0.482415,30.409534",NA,NA,NA,NA,NA,1,,0.482415,30.409534
136,2/26/18,1:50:07 PM,Garett,1/1/89,Male,Sniff,Ground with bartok Marlene porkpie Django another party ahead,,AdLib,"0.493312,30.415730",0,NA,NA,NA,NA,1,,0.493312,30.41573
137,3/1/18,13:07:53,Mitchell,1/1/99,Male,Sniff,"Ground in party 0.480454,30.413876",,Focal,"0.480454,30.413876",0,NA,NA,NA,NA,1,,0.480454,30.413876
138,3/3/18,4:14:52 PM,Django,1/1/97,Male,Sniff,Ground; traveling alone with porkpie,,AdLib,"0.483263,30.416437",0,NA,NA,NA,NA,1,,0.483263,30.416437
139,3/3/18,16:17:57,Porkpie,1/1/94,Male,Sniff,"Ground; North of j/11 with Django who sniffed another spot 5 min ago; 0.483579,30.416299",,Focal,"0.483579,30.416299",0,NA,NA,1,NA,1,,0.483579,30.416299
140,3/4/18,17:24:57,Dylan,7/26/06,Male,Sniff,"Ground in party 0.487567,30.414227",,Focal,"0.487567,30.414227",0,NA,NA,NA,NA,1,,0.487567,30.414227
141,3/5/18,9:24:43,YoYo,1/1/06,Male,Sniff,Ground and swat at leaves,,Focal,,NA,NA,NA,1,NA,0,,,
142,3/8/18,13:51:16,Fricka,12/12/11,Female,Sniff,Ground around warburgia; maybe sniffing warburgia,,Focal,,NA,NA,NA,1,NA,0,,,
143,3/12/18,14:12:31,Porkpie,1/1/94,Male,Sniff,"Ground in party ; rain ; vocalized then fed 0.477607,30.417520",,Focal,"0.477607,30.417520",0,NA,1,NA,NA,1,,0.477607,30.41752
144,3/13/18,4:40:21 PM,EttaJames,3/9/11,Female,Sniff,Ground walking with damien between parties,,AdLib,"0.490937,30.398463",0,NA,NA,NA,NA,1,,0.490937,30.398463
145,3/20/18,2:37:09 PM,Porkpie,1/1/94,Male,Sniff,Ground ; urine and feces; in party following Fitzgerald in estrus,,AdLib,"0.483138,30.426679",0,NA,NA,1,NA,1,,0.483138,30.426679
146,3/21/18,5:12:29 PM,Bosko,1/1/03,Male,Sniff,Ground in party; feeding warburgia,,AdLib,"0.477960,30.410196",0,NA,NA,1,NA,1,,0.47796,30.410196
147,3/31/18,18:03:21,Lovano,12/1/99,Male,Sniff,"In party 0.486897,30.409634",,Focal,"0.486897,30.409634",0,NA,NA,NA,NA,1,,0.486897,30.409634
148,4/6/18,1:43:15 PM,Damien,7/1/06,Male,Sniff,,,AdLib,"0.505809,30.392832",NA,NA,NA,NA,NA,1,,0.505809,30.392832
149,4/6/18,13:44:17,BillyBragg,1/1/05,Male,Sniff,"Ground after damien; party scattered 0.505809,30.392832",,Focal,"0.505809,30.392832",NA,NA,NA,1,NA,1,,0.505809,30.392832
150,4/19/18,2:42:55 PM,Richmond,1/1/87,Male,Sniff,Ground alone then branch,,AdLib,"0.483577,30.403019",1,NA,NA,NA,NA,1,,0.483577,30.403019
151,4/26/18,2:05:00 PM,Cannonball,7/30/07,Male,Sniff,Ground walking with party,,AdLib,"0.484340,30.414481",0,NA,NA,NA,NA,1,,0.48434,30.414481
152,5/2/18,6:46:42 PM,Abrams,12/1/99,Male,Sniff,Ground 12:55,,AdLib,"0.482902,30.416957",NA,NA,NA,NA,NA,1,,0.482902,30.416957
153,6/3/18,12:14:55,Abrams,12/1/99,Male,Sniff,"0.489667,30.406178 ground",,Focal,"0.489667,30.406178",NA,NA,NA,NA,NA,1,,0.489667,30.406178
154,6/3/18,12:20:27 PM,Margaret,7/1/06,Female,Sniff,,,AdLib,"0.488872,30.406209",NA,NA,NA,NA,NA,1,,0.488872,30.406209
155,6/7/18,10:38:15 AM,Elvira,2/13/12,Female,Sniff,Trunk if small tree,,AdLib,"0.508629,30.390750",NA,NA,NA,1,NA,1,,0.508629,30.39075
156,1/6/19,12:23:47 PM,Holland,7/20/10,Male,Sniff,Ground,,AdLib,"0.499149,30.406296",NA,NA,NA,NA,NA,1,,0.499149,30.406296
157,6/2/19,2:35:10 PM,Wes,6/1/97,Male,Sniff,Ground wge audio toward centraers; garrison Rollins’s was hurcherson entwiga others va,,AdLib,"0.428414,30.409385",0,1,NA,1,NA,1,,0.428414,30.409385
158,6/4/19,5:15:23 PM,Wes,6/1/97,Male,Sniff,Ground walking alone party scattered,,AdLib,"0.449251,30.392779",1,NA,NA,NA,NA,1,,0.449251,30.392779
159,6/8/19,17:58:08,BillyBragg,1/1/05,Male,Sniff,"00.48949,30.40866 ground walking with hutcherson others scattered",,Focal,"0.48949,30.40866",0,NA,NA,NA,NA,1,,"0.48949,",0.40866
160,6/13/19,12:39:28 PM,Garett,1/1/89,Male,Sniff,"Ground scattered feeding uvariopsis brownface carter Jackson. Jolie 00.49036,30.40693",,AdLib,"0.49036,30.40693",0,NA,NA,NA,NA,1,,"0.49036,",0.40693
161,6/14/19,8:12:56 AM,Garett,1/1/89,Male,Sniff,Ground; Emmy Lou had passed—cycling though 0/1,,AdLib,"00.49249,30.40743",0,NA,NA,1,NA,1,,0.49249,30.40743
162,6/14/19,12:53:14 PM,Rollins,1/1/86,Male,Sniff,And then joya sniff ground p.5/5.5 moving east just Rollins damien Etta and joya,,AdLib,"00.49328,30.40470",0,NA,NA,NA,NA,1,,0.49328,30.4047
163,6/14/19,1:00:03 PM,Rollins,1/1/86,Male,Sniff,Branch of tree near mucuso —just resting : sniffed twice,,AdLib,"00.49320,30.40573",NA,NA,NA,1,NA,1,,0.4932,30.40573
