Date,Time,Individual,Behavior,Comment,ID2,Data,Location,Alone,Patrol,Drum/Hoot?,Review,Delete,Has Location?
8/19/15,12:23:15 PM,"Morton,",Sniff,Old feces/urine with Morton and Hester (Hester didn't sniff it),,AdLib,"0.479764,30.427256",0,,,1,,1
8/19/15,12:23:32 PM,"Ornette,",Sniff,Old feces/urine; with Morton and Hester (Hester didn't sniff it),,AdLib,"0.479764,30.427256",0,,,1,,1
8/19/15,4:00:35 PM,"Erroll,",Sniff,,,AdLib,"0.475185,30.427997",,,,,,1
8/24/15,4:22:49 PM,"Evans,",Sniff,A cut stem; old cut by panga probably trail cutter but stem recently bent (by chimps just now?,,AdLib,"0.510069,30.435480",,,,1,,1
8/24/15,5:57:24 PM,"Evans,",Sniff,Where's party? Dizzy ahead,,AdLib,"0.515071,30.430265",0,,,1,,1
8/25/15,3:02:07 PM,"Wilson,",Sniff,Ground ( monk had walked ahead),,AdLib,"0.480686,30.427558",0,,,1,,1
10/30/17,18:01:59,"Peterson,",Sniff,Leaf,,Focal,,,,,1,,0
10/31/17,7:51:08 AM,"Erroll,",Sniff,With Wilson orff bartok and fleck buy Wilson keeps pant hooting,,AdLib,"0.496052,30.419491",0,,1,,,1
10/31/17,10:20:16,"Hicks,",Sniff,,"Merrill,",Focal,,0,,,,,0
11/1/17,12:09:24 PM,"Fleck,",Sniff,Amidst party resting ; Amelia with infant had just walked by with monk,,AdLib,"0.504501,30.424847",0,,,,,1
11/4/17,12:56:36,"Wes,",Sniff,As with previous,,Focal,,0,,,,,0
11/4/17,12:57:04 PM,"Wes,",Sniff,Leaving tree with small party,,AdLib,"0.502680,30.397230",0,,,,,1
11/6/17,14:49:09,"Cannonball,",Sniff,Ground,,Focal,,1,,,,,0
11/29/17,12:18:26,"Django,",Sniff,"Ground; in party with just bartok who went ahead ; 0.496265,30.423559",,Focal,"0.496265,30.423559",0,,,,,1
12/1/17,16:42:53,"Django,",Sniff,"0.493651,30.425112 ground",,Focal,"0.493651,30.425112",,,,,,1
12/5/17,9:25:52,"Wilson,",Sniff,Monodora,,Focal,,,,,1,,0
12/5/17,16:17:59,"Porkpie,",Sniff,,,Focal,,,,,,,0
12/6/17,1:02:47 PM,"Richmond,",Sniff,,,AdLib,"0.483770,30.410497",,,,,,1
12/6/17,1:03:01 PM,"Ellen,",Sniff,,,AdLib,"0.483850,30.410486",,,,,,1
12/6/17,1:19:43 PM,,Sniff,See video ; ground,,AdLib,"0.485583,30.413863",,,,1,,1
12/6/17,1:30:41 PM,"Wes,",Sniff,,,AdLib,"0.489114,30.415385",,,,,,1
12/7/17,4:12:18 PM,"Basie,",Sniff,Tree stump within big party,,AdLib,"0.474596,30.408927",0,,,1,,1
12/9/17,8:21:11,"Barron,",Sniff,"Stepped in something and tried to wipe foot and then sniffed ground 0.499800,30.421011",,Focal,"0.499800,30.421011",,,,1,,1
12/11/17,11:21:49,"Booker,",Sniff,Ground where Leonora was sitting (1/2 swelling),,Focal,,0,,,,,0
12/16/17,5:39:41 PM,"Elton,",Sniff,Ground; feces; walking quickly with miles Basie Peterson carter abrams and fisher,,AdLib,"0.515771,30.411942",0,,,,,1
12/17/17,9:40:20 AM,"Khutulun,",Sniff,Ground; in party with cash Sarandon and jacki; eating Monodora,,AdLib,"0.474377,30.424600",0,,,,,1
12/19/17,14:55:49,"Cannonball,",Sniff,"Ground, then rest. 0.485122,30.422295",,Focal,"0.485122,30.422295",,,,1,,1
12/19/17,15:03:30,"Cannonball,",Sniff,"Not in party although chimps should be scattered nearby; ground : 0.484957,30.422247",,Focal,"0.484957,30.422247",,,,1,,1
1/9/18,12:38:57 PM,"Fricka,",Sniff,Ground ; in party,,AdLib,"0.491254,30.424261",0,,,,,1
1/19/18,10:45:43 AM,"Septina,",Sniff,In party ; ground,,AdLib,"0.499382,30.406768",0,,,,,1
1/21/18,11:03:59 AM,"Brownface,",Sniff,Monodora on ground,,AdLib,"0.488271,30.425083",,,,1,,1
1/21/18,11:04:18,"Hicks,",Sniff,Monodora on ground,,Focal,,,,,1,,0
1/21/18,2:06:26 PM,"Christine.infant,",Sniff,Ground where beryl was resting with new infant,,AdLib,"0.482913,30.428722",0,,,,,1
1/23/18,4:32:22 PM,"Garrison,",Sniff,Ground maybe fresh feces - alone with rich bergl,,AdLib,"0.487788,30.402683",0,,,,,1
1/23/18,16:32:55,"RichBergl,",Sniff,Ground maybe feces -,,Focal,,,,,,,0
1/23/18,4:56:32 PM,"Garrison,",Sniff,Traveling just with rich bergl,,AdLib,"0.487640,30.406031",0,,,,,1
1/30/18,16:11:30,"Booker,",Sniff,"Ground in party but walking alone 0.488426,30.427860",,Focal,"0.488426,30.427860",,,,1,,1
2/2/18,7:40:10,"Dylan,",Sniff,With heater going between parties - ground,"Hester,",Focal,,0,,,,,0
2/2/18,7:41:55,"Dylan,",Sniff,"0.489748,30.428767 ground with Hester out of party","Hester,",Focal,"0.489748,30.428767",0,,,,,1
2/5/18,5:04:34 PM,"Richmond,",Sniff,On big party; ground ; maybe looking for red colobus,,AdLib,"0.476206,30.405622",0,,,1,,1
2/20/18,4:30:43 PM,"Nelson,",Sniff,Ground ; in party of central sw of m/11,,AdLib,"0.482526,30.409870",0,,,1,,1
2/20/18,4:31:16 PM,"Puccini,",Sniff,Ground among central party,,AdLib,"0.482415,30.409534",0,,,,,1
2/20/18,4:36:40 PM,"Hicks,",Sniff,Branch in ground ;,,AdLib,"0.482415,30.409534",,,,,,1
2/26/18,1:50:07 PM,"Garett,",Sniff,Ground with bartok Marlene porkpie Django another party ahead,,AdLib,"0.493312,30.415730",0,,,,,1
3/1/18,13:07:53,"Mitchell,",Sniff,"Ground in party 0.480454,30.413876",,Focal,"0.480454,30.413876",0,,,,,1
3/3/18,4:14:52 PM,"Django,",Sniff,Ground; traveling alone with porkpie,,AdLib,"0.483263,30.416437",0,,,,,1
3/3/18,16:17:57,"Porkpie,",Sniff,"Ground; North of j/11 with Django who sniffed another spot 5 min ago; 0.483579,30.416299",,Focal,"0.483579,30.416299",0,,,1,,1
3/4/18,17:24:57,"Dylan,",Sniff,"Ground in party 0.487567,30.414227",,Focal,"0.487567,30.414227",0,,,,,1
3/5/18,9:24:43,"YoYo,",Sniff,Ground and swat at leaves,,Focal,,,,,1,,0
3/8/18,13:51:16,"Fricka,",Sniff,Ground around warburgia; maybe sniffing warburgia,,Focal,,,,,1,,0
3/12/18,14:12:31,"Porkpie,",Sniff,"Ground in party ; rain ; vocalized then fed 0.477607,30.417520",,Focal,"0.477607,30.417520",0,,1,,,1
3/13/18,4:40:21 PM,"EttaJames,",Sniff,Ground walking with damien between parties,,AdLib,"0.490937,30.398463",0,,,,,1
3/20/18,2:37:09 PM,"Porkpie,",Sniff,Ground ; urine and feces; in party following Fitzgerald in estrus,,AdLib,"0.483138,30.426679",0,,,1,,1
3/21/18,5:12:29 PM,"Bosko,",Sniff,Ground in party; feeding warburgia,,AdLib,"0.477960,30.410196",0,,,1,,1
3/31/18,18:03:21,"Lovano,",Sniff,"In party 0.486897,30.409634",,Focal,"0.486897,30.409634",0,,,,,1
4/6/18,1:43:15 PM,"Damien,",Sniff,,,AdLib,"0.505809,30.392832",,,,,,1
4/6/18,13:44:17,"BillyBragg,",Sniff,"Ground after damien; party scattered 0.505809,30.392832",,Focal,"0.505809,30.392832",,,,1,,1
4/19/18,2:42:55 PM,"Richmond,",Sniff,Ground alone then branch,,AdLib,"0.483577,30.403019",1,,,,,1
4/26/18,2:05:00 PM,"Cannonball,",Sniff,Ground walking with party,,AdLib,"0.484340,30.414481",0,,,,,1
5/2/18,6:46:42 PM,"Abrams,",Sniff,Ground 12:55,,AdLib,"0.482902,30.416957",,,,,,1
6/3/18,12:14:55,"Abrams,",Sniff,"0.489667,30.406178 ground",,Focal,"0.489667,30.406178",,,,,,1
6/3/18,12:20:27 PM,"Margaret,",Sniff,,,AdLib,"0.488872,30.406209",,,,,,1
6/7/18,10:38:15 AM,"Elvira,",Sniff,Trunk if small tree,,AdLib,"0.508629,30.390750",,,,1,,1
1/5/19,4:10:32 PM,"Brownface,Hicks,",Sniff,Ground ; walking with hicks beryl and Django,,AdLib,"0.498227,30.425204",0,,,,,1
1/6/19,12:23:47 PM,"Holland,",Sniff,Ground,,AdLib,"0.499149,30.406296",,,,,,1
1/6/19,12:26:06 PM,"Garrison,Holland",Sniff,Ground; western patrol east northeast?,,AdLib,"0.499149,30.406296",0,1,,,,1
6/2/19,2:35:10 PM,"Wes,",Sniff,Ground wge audio toward centraers; garrison Rollins’s was hurcherson entwiga others va,,AdLib,"0.428414,30.409385",0,1,,1,,1
6/4/19,5:15:23 PM,"Wes,",Sniff,Ground walking alone party scattered,,AdLib,"0.449251,30.392779",1,,,,,1
6/8/19,17:58:08,"BillyBragg,",Sniff,"00.48949,30.40866 ground walking with hutcherson others scattered",,Focal,"0.48949,30.40866",0,,,,,1
6/13/19,12:39:28 PM,"Garett,",Sniff,"Ground scattered feeding uvariopsis brownface carter Jackson. Jolie 00.49036,30.40693",,AdLib,"0.49036,30.40693",0,,,,,1
6/14/19,8:12:56 AM,"Garett,",Sniff,Ground; Emmy Lou had passed—cycling though 0/1,,AdLib,"00.49249,30.40743",0,,,1,,1
6/14/19,12:53:14 PM,"Rollins,",Sniff,And then joya sniff ground p.5/5.5 moving east just Rollins damien Etta and joya,,AdLib,"00.49328,30.40470",0,,,,,1
6/14/19,1:00:03 PM,"Rollins,",Sniff,Branch of tree near mucuso —just resting : sniffed twice,,AdLib,"00.49320,30.40573",,,,1,,1
6/14/19,2:27:13 PM,"EttaJames,",Sniff,Branches ; central had been last night,,AdLib,"00.49284,30.40711",,,,1,,1
7/25/19,3:10:52 PM,"Holland,",Sniff,Ground party with Wayne and Buckner,,AdLib,"0.494143,30.398868",0,,,,,1
7/28/19,10:53:12,"Cannonball,",Sniff,"Ground 0.491175,30.423073 Jackson walking ahead",,Focal,"0.491175,30.423073",0,,,,,1
9/18/19,5:27:25 PM,"YoYo,",Sniff,Ground ; with party of western males moving south from L/4.5,,AdLib,"0.495013,30.412825",,,,,,1
9/20/19,16:57:11,"YoYo,",Sniff,"0.489188,30.411808 sniff ground; Buckner an Holland nearby other party had gone head",,Focal,"0.489188,30.411808",0,,,,,1
9/22/19,2:10:15 PM,"YoYo,",Sniff,Ground on within patrol I/13,,AdLib,"0.479069,30.418462",,1,,,,1
9/26/19,5:03:21 PM,"Cash,",Sniff,Ground walking with party,,AdLib,"0.474032,30.438188",0,,,,,1
10/15/19,12:24:34,"Dylan,",Sniff,"Ground alone with only fisher behind 0.495101,30.424955",,Focal,"0.495101,30.424955",,,,,,1
10/24/19,10:57:27,"Evans,",Sniff,"Ground looks like something had rooted around 0.491292,30.428202",,Focal,"0.491292,30.428202",,,,,,1
10/25/19,14:01:55,"Christine_0,",Sniff,Dead infant,,Focal,,,,,1,1,0
10/26/19,16:27:26,"Cannonball,",Sniff,"Ground 0.488014,30.423045. Alone",,Focal,"0.488014,30.423045",1,,,,,1
10/26/19,16:31:50,"Cannonball,",Sniff,"Alone : ground 0.487480,30.423170",,Focal,"0.487480,30.423170",1,,,,,1
11/1/19,12:06:33,"Ava,",Sniff,Dead infant Huxley,,Focal,,,,,1,,0
6/19/21,10:56:42 AM,"Dylan,",Sniff,"Branch 0.483023 N, 30.434435 E",,Focal,"0.483023 N, 30.434435 E",,,,,,1
6/23/21,5:32:22 PM,"Carter,",Sniff,Leaves; after rushing over toward chimp calls; eagle flew away (Sam and Izzi) ; Jarman and Eubanks and cannonball looking up into tree; others sniffing ground,,AdLib,"0.483575,30.415448",0,,1,1,,1
6/27/21,10:50:09 AM,"Nadine,",Sniff.Ground,Juveniles female as traveling to me east ;,,AdLib,"0.484979,30.428082",,,,1,,1
6/28/21,5:31:08 PM,"Damien,",Sniff.Ground,"0.492543, 30.397262 climbed down tree ; Rollins was ahead… is he in sight?",,Focal,"0.492543, 30.397262",,,,1,,1
6/28/21,6:14:26 PM,"Holland,",Sniff.Ground,In party with Buckner and Damien ; Holland eating Pterygota from ground,,AdLib,"0.492866,30.398593",0,,,1,,1
7/3/21,4:37:51 PM,"Porkpie,",Sniff,"Root / log; traveling alone 0.489584, 30.427752",,Focal,"0.489584, 30.427752",1,,,,,1
7/3/21,4:39:00 PM,"Porkpie,",Sniff.Ground,"0.489492, 30.427588",,Focal,"0.489492, 30.427588",1,,,,,1
7/5/21,11:47:25 AM,"Bach,",Sniff.Ground,Fresh chino dung and urine,,AdLib,"0.484076,30.414429",,,,1,,1
7/8/21,4:26:09 PM,"Bach,",Sniff.Ground,"Chimp feces 0.477296, 30.411904",,Focal,"0.477296, 30.411904",,,,1,,1
7/16/21,5:11:03 PM,"Larson,",Sniff.Ground,"0.492716, 30.391651",,Focal,"0.492716, 30.391651",,,,,,1
7/17/21,5:15:23 PM,"Wes,",Sniff.Ground,"0.485238, 30.411718",,Focal,"0.485238, 30.411718",,,,,,1
7/18/21,10:45:11 AM,"Wes,",Sniff.Ground,"0.485964, 30.402979 in scattered party no one in view",,Focal,"0.485964, 30.402979",,,,1,,1
7/20/21,11:48:11 AM,"Carter,",Sniff,Ground where Porkpie died,,AdLib,"0.487945,30.429122",0,,,1,,1
7/20/21,11:48:27 AM,"Wilson,",Sniff.Ground,"0.487897, 30.429227 where Porkpie died",,Focal,"0.487897, 30.429227",0,,,1,1,1
7/24/21,5:18:02 PM,"Elton,",Sniff.Ground,"Leaving party 0.493917, 30.418253",,Focal,"0.493917, 30.418253",,,,,1,1
7/27/21,3:20:31 PM,"Bosko,",Sniff,Leaves from whence amelia2 was standing in tree,,Focal,,,,,,,0
8/7/21,9:27:00 AM,"Dylan,",Sniff.Ground,"0.487495 N, 30.432131 E",,Focal,"0.487495, 30.432131",,,,,,1
8/9/21,1:22:42 PM,"Cannonball,",Sniff.Ground,Moved north with Garett Aretha Powell and lucrezia (?),,AdLib,"0.504705,30.428865",0,,,,,1
8/12/21,1:13:39 PM,"Larson,",Sniff.Ground,"0.480189, 30.409530 in party but not western party he was with still east",,Focal,"0.480189, 30.409530",0,,,,,1
8/13/21,4:33:03 PM,"Joya,",Sniff,In party of Yoyo Wayne Hutcherson Murray senta billy Bragg Anna Sanger Freddie and youths mvoing west after patrol to h/6-g.5/5,,AdLib,"0.493115,30.414982",0,,,1,,1
8/16/21,10:44:34 AM,"Carter,",Sniff.Ground,Central patrol,,AdLib,"0.489016,30.422093",,1,,,,1
8/16/21,10:45:56 AM,"Brownface,",Sniff.Ground,,"Miles,",AdLib,"0.488932,30.421825",0,,,1,,1
8/16/21,11:01:24 AM,"Morton,",Sniff.Ground,,,AdLib,"0.489546,30.419677",,,,,,1
8/16/21,12:05:22 PM,"Brownface,",Sniff.Ground,Patrol west,,AdLib,"0.487574,30.417014",0,1,,,,1
8/18/21,10:52:40 AM,"Damien,",Sniff,Branch,,AdLib,"0.485612,30.388864",,,,1,,1
8/19/21,4:43:35 PM,"YoYo,",Sniff.Ground,,,AdLib,"0.495416,30.418483",,,,,,1
