individualID,DOB,Sex,mother,father,Maturity,ID_notes,neighborhood,Focal
Halle.infant1,2017-10-15,Male,Halle,,Dependent,,central-north,0
Woodrow,2017-10-29,Male,Jackie,,Dependent,,east,0
Julianne.infant,2017-10-30,Unknown,Julianne,,Dependent,,east,0
Amelia.infant1,2017-10-31,Unknown,Amelia,,Dependent,,central,0
Baez.infant1,2017-11-07,Unknown,Baez,,Dependent,,central,0
Hester.infant,2017-12-03,Unknown,Hester,,Dependent,,central,0
EO,2017-12-10,Male,Carson,,Dependent,,west,0
Gunnell,2018-01-01,Male,Atwood,,Dependent,first seen 1/8/18 by Izzi,east,0
Malala,2018-01-03,Unknown,Renata,,Dependent,,west,0
Rusalka.infant,2018-01-15,Unknown,Rusalka,,Dependent,,west,0
Lindsay,2018-01-18,Female,Beryl,,Dependent,,east,0
Louis,2018-01-27,Male,Sabin,,Dependent,,west,0
Ruth.infant,2018-01-29,Unknown,Ruth,,Dependent,,central,0
Tolkien,2018-02-02,Male,Shire,,Dependent,,east,0
Geraldyn.infant1,2018-02-12,Unknown,Geraldyn,,Dependent,,west,0
Kofi,2018-02-23,Male,Fiona,,Dependent,,central,0
Charlotte,2018-02-26,Female,Bronte,,Dependent,,east,0
Kano,2018-03-06,Male,Callas,,Dependent,,central,0
Violetta.infant,2018-03-11,Unknown,Violetta,,Dependent,,east,0
Huxley,2018-03-30,Male,Christine,,Dependent,,central,0
Baez.infant2,2018-12-07,Unknown,Baez,,Dependent,,central,0
